99;89;0;80;0;0;0
99;88;0;79;0;0;0
99;87;0;78;0;0;0
99;86;0;77;0;0;0
99;85;0;76;0;40;0
99;84;0;75;0;0;0
99;83;0;74;0;39;0
99;83;0;73;0;39;0
99;82;0;72;80;38;0
99;81;0;71;79;0;0
99;80;0;70;78;37;0
99;79;0;69;77;36;0
99;79;0;69;76;36;0
99;78;0;68;75;0;0
99;77;0;67;74;35;0
99;76;0;66;73;34;0
99;75;0;65;72;0;0
99;74;0;64;71;33;0
99;74;0;63;70;33;0
99;73;0;62;69;0;0
99;72;0;61;68;32;0
99;71;0;60;67;31;25
98;70;80;59;66;0;0
97;69;79;58;65;30;0
96;68;78;57;64;29;24
96;68;77;57;63;29;24
96;67;76;56;62;0;0
95;66;75;55;61;28;23
93;65;74;54;60;27;0
92;64;73;53;59;0;22
92;64;73;52;59;0;22
90;63;72;51;58;26;0
90;63;72;51;57;26;0
89;62;71;50;56;0;21
86;61;70;49;55;25;0
84;60;69;48;54;24;20
82;59;68;47;53;0;0
79;58;67;46;52;23;19
79;58;67;46;51;23;19
76;57;66;45;50;22;0
73;56;65;44;49;0;18
69;55;64;43;48;21;0
69;55;64;42;48;21;0
66;54;63;41;47;0;0
62;53;62;40;46;20;17
62;53;62;40;45;20;17
58;52;61;39;44;19;0
54;51;60;38;43;0;16
50;50;59;37;42;18;0
46;49;58;36;41;17;15
42;48;57;35;40;0;0
42;48;57;35;39;0;0
38;47;56;34;38;16;14
35;46;55;33;37;15;0
31;45;54;32;36;0;13
31;45;54;31;36;0;13
27;44;53;30;35;14;0
27;44;52;30;35;14;0
24;43;51;29;34;0;12
24;43;51;29;33;0;12
21;42;50;28;32;13;0
18;41;49;27;31;12;0
16;40;48;26;30;0;11
14;39;47;25;29;11;0
12;38;46;24;28;10;10
12;38;46;24;27;10;10
10;37;45;23;26;0;0
8;36;44;22;25;9;9
8;36;44;21;25;9;9
7;35;43;20;24;8;0
6;34;42;19;23;0;8
5;33;41;18;22;0;0
5;33;41;18;21;0;0
4;32;40;17;20;0;7
3;31;39;16;19;0;0
2;30;38;0;18;0;6
2;29;37;0;17;0;0
2;28;36;0;16;0;0
2;27;35;0;0;0;5
2;26;34;0;0;0;0
2;25;33;0;0;0;0
2;24;32;0;0;0;0
2;23;31;0;0;0;0
2;22;30;0;0;0;0
2;21;29;0;0;0;0
2;20;28;0;0;0;0
2;20;27;0;0;0;0
2;19;26;0;0;0;0
2;18;25;0;0;0;0
2;17;24;0;0;0;0
2;16;23;0;0;0;0 
2;15;22;0;0;0;0 
2;14;21;0;0;0;0
2;13;20;0;0;0;0
2;12;19;0;0;0;0
2;11;18;0;0;0;0
2;10;17;0;0;0;0
2;9;16;0;0;0;0

